,account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_eve_minutes,total_eve_calls,total_night_minutes,total_night_calls,total_intl_minutes,total_intl_calls,churn,state_AK,state_AL,state_AR,state_AZ,state_CA,state_CO,state_CT,state_DC,state_DE,state_FL,state_GA,state_HI,state_IA,state_ID,state_IL,state_IN,state_KS,state_KY,state_LA,state_MA,state_MD,state_ME,state_MI,state_MN,state_MO,state_MS,state_MT,state_NC,state_ND,state_NE,state_NH,state_NJ,state_NM,state_NV,state_NY,state_OH,state_OK,state_OR,state_PA,state_RI,state_SC,state_SD,state_TN,state_TX,state_UT,state_VA,state_VT,state_WA,state_WI,state_WV,state_WY,area_code_408,area_code_415,area_code_510
0,1,0,1,1,1.1920605460612552,0.45299105016829483,-0.1684861795008964,-0.07385688876111991,0.8590009157281532,-0.46663231745731815,-0.19916473276024307,-0.6021388785241245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,0,1,1,-0.498611886225433,1.129742696385416,-0.20621685847401208,0.14225515020626536,1.062986143071758,0.17087741917918492,1.278252205393872,-0.6021388785241245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1,0,0,0,0.8375910602581523,0.661222325927409,-1.6816849888437413,0.5204512183991896,-0.8675132249842086,0.22400323056556015,0.6792993926286902,0.4006646229955956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,0,1,0,0,1.7523510236209976,-1.5772638884830688,-2.8592793378467682,-0.6681649959214294,-0.14620463757331897,-0.5728839402300687,-1.5567911083613224,1.4034681245153158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,0,1,0,0,-0.41530338956203106,0.6091645069876306,-1.1435263571745666,1.1687873353013456,-0.35649868638115845,1.1271420241339396,-0.15923454524256442,-0.6021388785241245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,1,1,0,0,0.5108910733428504,-0.17170277710904777,0.29222526901293533,0.034199130722572725,0.0010011965921686227,0.9677645899748137,-1.6765816709143586,0.9020663737554556,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,1,0,1,1,0.4259490767448716,-0.6922809665068332,2.832095711466345,0.4123951989154969,0.18395701905498874,0.9677645899748137,-1.197419420702213,1.4034681245153158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,1,1,0,0,-0.5737528832159523,-1.1608013369648402,-2.0411193516928945,-0.3439969374703515,0.1671334951503619,-0.20100326052544187,-1.3571401707729285,0.9020663737554556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,1,0,0,0,-0.1245404012074121,-0.22376059604882634,2.8936562929487977,-1.1003890738561999,0.2512511146734977,-0.5197581288436934,-0.7182571704900678,-0.10073712776426445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,1,1,1,1,1.0858830503137822,-0.9005122422659475,0.32002682194049425,0.5744792281410359,2.5771032944882015,-0.1478774491390666,0.2799975174519022,0.4006646229955956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
10,0,0,0,0,-1.0294993649627988,1.8585521615423155,0.44910546053273165,-0.938305044630661,0.10404528050801007,0.595883910270187,0.8789503302170841,0.9020663737554556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,0,0,0,0,-0.07226840330096396,1.33797397214453,-0.8436667505987536,2.5735155885893497,-0.16513110196602465,-0.30725488329819245,-0.5585364204193525,0.4006646229955956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,1,0,0,0,-1.034399864766528,-0.27581841498860493,-2.0053744979288903,-1.5866411615328169,-1.3196454299210632,1.4990227038385662,0.2799975174519022,-1.1035406292839844,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,0,0,0,0,-0.5802868829542585,-0.6922809665068332,0.8283980754729985,-1.3705291225654315,-0.24293990002492502,0.808387155815688,0.7192295801463695,0.4006646229955956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,0,0,0,0,-1.1667133594672254,-1.6293217074228474,2.01194990010336,-1.3165011128235853,-0.017925267800537048,-0.04162582636631611,1.0386710802877996,0.9020663737554556,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,1,0,0,0,2.299573501704128,-1.785495164242183,2.222447372269163,-0.18191290824481252,-0.9095720347457765,1.4990227038385662,-2.0359533585734675,2.406271626035036,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,0,0,1,1,0.0698460910071927,1.9626677994218729,1.4896778701070756,-0.5601089764377367,-2.408968602745672,-1.316645299639322,1.3181823929115515,-0.10073712776426445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,0,0,0,0,-0.02326340526366865,0.661222325927409,0.24456546399426296,0.5744792281410359,-1.5614835860500786,1.1271420241339396,-0.9578382955961404,-0.6021388785241245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
18,0,0,1,1,-0.03959840460943375,-1.8375529831819615,0.1373309027022508,-1.9108092199838949,-0.8023220698537784,0.4365064761110612,-0.19916473276024307,0.4006646229955956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
19,0,0,0,0,0.5272260726886155,-0.5881653286272762,-0.9211139337540962,-0.6681649959214294,-0.23242519758453306,-1.3697711110256974,0.9987408927701208,-1.1035406292839844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
20,1,0,0,0,-0.6047893819729061,0.8173957827467447,0.6715178839532021,-0.39802494721219783,0.10404528050801007,1.7646517607704424,0.04041639234582956,-0.10073712776426445,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,0,0,0,0,-2.119043821325331,-0.6402231475670548,-0.7145881120065162,1.114759325559499,0.12086880441263687,-1.90102922488945,-1.9161627960204315,0.9020663737554556,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,1,0,0,0,-1.334963852728606,0.08858631758984498,-1.3619671301768146,0.08822714046441904,-0.2997192932030421,0.2771290419519354,-1.1175590456668554,0.9020663737554556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
23,1,0,0,0,-1.8135793335595236,-0.7963966043863904,0.7807382704543261,-1.5326131517909705,0.6970744981461171,0.808387155815688,-0.07937417020720641,-1.1035406292839844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
24,1,0,0,0,-1.1079073618224713,-1.316974793784176,1.4142165121608454,0.6285072378828823,0.9851773450128568,0.808387155815688,1.9969955807120907,0.4006646229955956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,0,0,1,1,0.3410070801468933,0.7132801448671876,-0.2935931676749114,0.6285072378828823,-0.4448221868804514,0.808387155815688,-0.39881567034863713,-0.6021388785241245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
26,0,0,0,0,-0.94455736836482,-1.4731482506035116,-1.00054694211855,-0.01982887901927359,-2.1397922202716373,-1.688525979343949,1.6775540805706601,-0.10073712776426445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,0,0,0,0,-0.03469790480570404,0.40093323122851626,1.0388955476388007,-0.8842770348888146,-0.4700574727373919,0.11775160779280965,-1.6765816709143586,0.9020663737554556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,0,0,0,0,-1.1895823585512966,0.8173957827467447,0.18300488251181138,0.46642320865734327,-0.5289398064035872,-0.5197581288436934,0.24006732993422356,-1.6049423800438445,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
